GeographyCode,QS110NI0001,QS110NI0002,QS110NI0003,QS110NI0004,QS110NI0005,QS110NI0006,QS110NI0007,QS110NI0008,QS110NI0009,QS110NI0010,QS110NI0011,QS110NI0012,QS110NI0013,QS110NI0014,QS110NI0015,QS110NI0016,QS110NI0017,QS110NI0018,QS110NI0019,QS110NI0020,QS110NI0021,QS110NI0022,QS110NI0023,QS110NI0024,QS110NI0025,QS110NI0026,QS110NI0027
95MM13S4,2553,153,60,93,2073,100,1237,112,260,769,96,0,136,16,27,88,5,600,231,317,52,327,77,153,0,14,83
95MM13S5,2309,100,26,74,2018,26,1598,110,287,991,210,0,92,28,31,23,10,302,95,169,38,191,49,113,0,0,29
95MM14S1,768,169,88,81,513,62,317,64,51,141,61,0,29,6,6,17,0,105,35,32,38,86,9,18,0,19,40
95MM14S2,1676,348,115,233,1105,72,464,60,61,250,93,2,144,46,42,50,6,423,150,149,124,223,41,55,0,13,114
95MM15S1,1681,174,75,99,1395,108,1041,156,184,462,239,0,82,14,9,53,6,164,42,31,91,112,42,30,0,7,33
95MM15S2,2648,179,65,114,2282,84,1641,188,283,922,248,0,136,42,33,61,0,421,122,213,86,187,57,48,0,8,74
95MM16S1,2407,241,60,181,1916,54,1082,126,245,537,174,0,217,68,47,99,3,563,205,235,123,250,63,107,0,8,72
95MM16S2,3271,227,54,173,2719,126,1991,294,363,1065,269,2,230,102,51,74,3,370,125,174,71,325,82,145,0,8,90
95MM17S1,1962,77,19,58,1687,40,1297,128,286,539,344,2,81,20,27,25,9,267,92,94,81,198,61,72,0,3,62
95MM17S2,1787,237,70,167,1275,82,717,88,167,221,241,2,69,32,21,9,7,405,129,138,138,275,74,90,4,2,105
95MM18S1,2241,168,51,117,1828,72,1314,150,224,649,291,0,131,34,30,60,7,311,87,101,123,245,72,83,0,3,87
95MM18S2,2875,191,42,149,2441,66,1797,176,308,1016,297,4,120,58,6,53,3,454,143,232,79,243,64,81,6,2,90
95MM19S1,1558,165,66,99,1222,96,852,172,118,245,317,0,77,38,28,4,7,197,60,63,74,171,35,51,0,4,81
95MM19S2,1486,224,30,194,1120,36,698,88,123,366,121,5,176,84,33,59,0,205,81,75,49,142,35,24,0,0,83
95MM20S1,1606,242,115,127,1273,134,758,146,151,298,163,0,94,34,37,13,10,287,66,125,96,91,13,21,0,10,47
95MM20S2,1752,238,125,113,1374,144,829,134,139,300,256,0,127,50,29,25,23,274,102,93,79,140,44,33,0,18,45
95MM21S1,1619,143,48,95,1357,64,922,140,174,381,227,0,70,20,21,25,4,301,106,119,76,119,25,43,0,0,51
95MM21S2,1762,124,53,71,1491,117,1080,178,204,420,278,2,66,22,18,23,3,226,47,94,85,147,31,44,0,5,67
95MM22S1,1219,135,62,73,944,102,555,62,101,209,183,0,59,24,6,26,3,228,47,95,86,140,50,43,0,6,41
95MM22S2,1253,140,91,49,921,124,648,84,149,139,276,0,41,16,7,12,6,108,38,15,55,192,58,74,0,7,53
95MM23W1,2476,379,98,281,1444,72,713,110,120,238,245,6,169,98,32,36,3,484,133,177,174,653,130,123,38,19,343
95MM24W1,2503,187,73,114,1842,104,875,76,140,339,320,4,75,20,26,26,3,784,213,363,208,474,116,226,0,4,128
95MM25S1,1289,120,20,100,961,20,358,38,67,118,135,0,72,8,9,45,10,511,127,300,84,208,75,70,0,0,63
95MM25S2,1458,97,18,79,1133,20,475,42,53,224,156,0,49,8,9,32,0,589,181,319,89,228,61,100,0,2,65
95MM25S3,1550,102,12,90,1196,12,513,36,86,294,97,0,83,22,19,42,0,588,190,334,64,252,48,129,0,10,65
95MM25S4,2057,135,41,94,1706,20,1065,86,218,555,206,0,81,22,27,32,0,540,165,282,93,216,66,102,2,4,42
95MM26S1,1743,122,30,92,1313,26,768,72,168,284,244,5,66,18,19,29,0,448,139,210,99,308,98,96,3,7,104
95MM26S2,1386,74,26,48,1138,56,879,126,219,283,251,0,31,14,6,5,6,172,49,63,60,174,46,67,0,5,56
95MM27S1,1945,601,118,483,815,42,377,36,59,172,110,0,77,60,6,8,3,319,118,89,112,529,71,43,54,12,349
95MM27S2,1272,207,50,157,751,74,425,86,67,138,134,3,76,42,27,7,0,173,46,59,68,314,41,35,69,8,161
95MM28W1,2269,525,132,393,1345,54,672,70,153,253,196,2,114,38,40,29,7,503,168,187,148,399,68,95,7,11,218
95MM29W1,3408,550,121,429,2347,94,1195,156,186,675,178,4,283,86,80,103,14,771,250,295,226,511,114,84,0,13,300
95MM30W1,2083,351,148,203,1298,78,655,80,117,242,216,2,81,22,18,38,3,482,152,186,144,434,107,115,6,24,182
95NN01S1,1448,174,63,111,1172,102,652,98,117,255,182,0,130,32,25,62,11,288,76,125,87,102,29,24,0,4,45
95NN01S2,1686,165,54,111,1335,64,976,112,155,455,254,4,75,26,16,33,0,216,62,79,75,186,33,76,0,10,67
95NN02W1,2211,194,88,106,1862,154,1237,162,217,488,370,0,103,42,33,22,6,368,88,144,136,155,43,56,0,9,47
95NN03S1,1319,193,99,94,1005,73,699,118,102,313,166,0,99,42,25,26,6,134,34,47,53,121,37,22,0,2,60
95NN03S2,1481,132,49,83,1241,98,849,140,153,392,164,0,84,20,30,30,4,210,55,93,62,108,44,25,0,2,37
95NN04W1,2861,363,115,248,2128,78,986,114,208,458,206,2,219,82,61,66,10,843,258,393,192,370,76,114,3,24,153
95NN05W1,2472,371,126,245,1904,140,1119,196,197,503,223,0,231,76,75,71,9,414,151,164,99,197,63,56,0,15,63
95NN06S1,1095,153,69,84,831,42,531,64,87,234,146,0,38,20,6,9,3,220,49,100,71,111,35,26,0,7,43
95NN06S2,2355,172,54,118,1977,72,1471,126,223,836,286,0,80,26,30,21,3,354,75,204,75,206,41,86,0,13,66
95NN07S1,1687,112,27,85,1470,26,882,130,158,379,215,2,159,22,59,71,7,401,112,200,89,105,31,40,0,0,34
95NN07S2,1541,242,114,128,1109,56,673,78,130,306,159,0,82,30,21,27,4,298,102,117,79,190,25,76,0,6,83
95NN08S1,1501,119,55,64,1285,84,938,140,207,374,217,2,93,32,22,31,8,168,46,43,79,97,7,8,0,5,77
95NN08S2,1768,134,61,73,1447,94,1048,140,180,497,231,2,99,38,34,27,0,204,47,97,60,187,38,66,0,13,70
95NN09S1,1684,99,43,56,1482,80,1175,172,221,565,217,0,93,22,25,40,6,134,36,50,48,103,17,26,0,11,49
